timestamp,symbol,position,total_symbols,net_positions
2026-01-17T15:51:55.440490,AAPL,-408,2,-73
2026-01-17T15:51:55.440490,GOOG,335,2,-73
2026-01-17T15:51:56.450234,AAPL,-408,2,359
2026-01-17T15:51:56.450234,GOOG,767,2,359
2026-01-17T15:51:57.460570,AAPL,-408,2,333
2026-01-17T15:51:57.460570,GOOG,741,2,333
2026-01-17T15:51:58.470913,AAPL,-408,2,368
2026-01-17T15:51:58.470913,GOOG,776,2,368
2026-01-17T15:51:59.480385,AAPL,-408,3,131
2026-01-17T15:51:59.480385,GOOG,776,3,131
2026-01-17T15:51:59.480385,TSLA,-237,3,131
2026-01-17T15:52:00.490486,AAPL,-408,3,-344
2026-01-17T15:52:00.490486,GOOG,776,3,-344
2026-01-17T15:52:00.490486,TSLA,-712,3,-344
2026-01-17T15:52:01.492047,AAPL,-408,3,-443
2026-01-17T15:52:01.492047,GOOG,776,3,-443
2026-01-17T15:52:01.492047,TSLA,-811,3,-443
2026-01-17T15:52:02.500275,AAPL,-286,3,-321
2026-01-17T15:52:02.500275,GOOG,776,3,-321
2026-01-17T15:52:02.500275,TSLA,-811,3,-321
2026-01-17T15:52:03.510186,AAPL,-568,3,-603
2026-01-17T15:52:03.510186,GOOG,776,3,-603
2026-01-17T15:52:03.510186,TSLA,-811,3,-603
2026-01-17T15:52:04.512746,AAPL,-568,3,-998
2026-01-17T15:52:04.512746,GOOG,776,3,-998
2026-01-17T15:52:04.512746,TSLA,-1206,3,-998
2026-01-17T15:52:05.523007,AAPL,-568,3,-1339
2026-01-17T15:52:05.523007,GOOG,776,3,-1339
2026-01-17T15:52:05.523007,TSLA,-1547,3,-1339
2026-01-17T15:52:06.532854,AAPL,-790,3,-1561
2026-01-17T15:52:06.532854,GOOG,776,3,-1561
2026-01-17T15:52:06.532854,TSLA,-1547,3,-1561
2026-01-17T15:52:07.540388,AAPL,-790,4,-1241
2026-01-17T15:52:07.540388,GOOG,776,4,-1241
2026-01-17T15:52:07.540388,TSLA,-1547,4,-1241
2026-01-17T15:52:07.540388,MSFT,320,4,-1241
